name,quantity,model_name,model_number,serial_number,country_of_origin,manufacturer,where_purchased,price,acquired_year,location,remark,department,decription,inventory_number,,,
Simulated relay unit,1,SR 150G,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Pulse flow transmitter,3,38-421,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Pressure transmitter,1,38-461,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Differential pressure transmitter,1,38-462,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Float level transmitter,1,38-401,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Thermistor temperature transmitter,1,38-441,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Digital display module,1,,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Loading unit,2,LU 150L,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Input potentiometer unit,2,IP 150H,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Output potentiometer unit,2,OP 150K,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
DC motor-tacho unit,2,MT 150F,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
AC motor-tacho unit,2,MT 150U,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Servo-amplifier,2,SA 150D,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Power supply,2,PS 150E,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Teknikit consolette,1,286/46/16,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Teknikit consolette,1,286/43/33,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Teknikit consolette,1,286/18/26,,,UK,,,,1992,Control Lab (H7 007),Faulty,elec,,,,,
Differential syncro,1,DS 150J,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Synchro transmitter,1,ST 150T,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Synchro transformer,1,ST 150R,,,UK,,,,1992,Control Lab (H7 007),Faulty,elec,,,,,
Linear transducer test rig,2,TK 294,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Linear variable differential transformer,2,TK 294G,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Strain gauge,2,TK 294K,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Variable resistor,2,TK 294K,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Variable capacitor I (Area),2,TK 294H,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Variable capacitor II (Distance),2,TK 294J,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Variable inductor,2,TK 294F,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Motor control circuits PE 482A,1,482/22/4,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Motor control circuits PE 482A,1,482/22/12,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
DC Shunt motor unit PE 482B,1,482/22/4,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
DC Shunt motor unit PE 482B,1,482/22/12,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Capacitor start/run induction motor,1,482D/2/2,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Wheatstone bridge PWB (Module 294A),2,2-294A-6419A ISS 4,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Amplifier PWB (Module 294B),2,2-294B-6420A ISS 6,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Oscillator PWB (Module 294C),2,2-294C-6421A ISS 9,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Discriminator PWB (Module 294D),2,2-294D-6422A ISS5,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Power supply PS 189,1,189/32/1,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Power supply PS 446,1,446/4/13,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
30V-2A Precision Dc power supply,4,TS 3021S,,Thurlby-Thander,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Heat bar control box,2,TK 294,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Process control simulator,2,PCS 327 MK 2 & 3,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Basic process rig 38-100,1,38-100/3/5,,,UK,,,,1992,Control Lab (H7 007),Faulty,elec,,,,,
Temperature process rig 38-60c,1,38-600/7/6,,,UK,,,,1992,Control Lab (H7 007),Faulty pump,elec,,,,,
Pressure process rig 38-714,1,B232497,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Power function generator PFG 605,1,605/29/5,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Variable phase LF generator VPG 608,1,608/27/20,,,UK,,,,1992,Control Lab (H7 007),Faulty,elec,,,,,
Transfer function analyser TFA 607,1,607/12/6,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Electronic wattmeter EW 604,1,604/64/2,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Variable phase LF generator VPG 608,1,608/27/19,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Digital phase meter DPM 609,1,609/22/5,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Data acquisition unit,1,38-370/1/9,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Type SQ-10 Sequential controller,1,84266601,,,,ANDO Electric,,,,Control Lab (H7 007),Ok,elec,,,,,
Servo-,1,361-59000-06,,,,Shimadzu instruments,,,,Control Lab (H7 007),Ok,elec,,,,,
Type SCR-II Thyristor trainer,5,,,,,ANDO Electric,,,,Control Lab (H7 007),Ok,elec,,,,,
DA/AD converter,2,OPT-260,,,,Shimadzu instruments,,,,Control Lab (H7 007),Ok,elec,,,,,
Signal generators,6,GX 239 Metrix,,,,ITT Instruments,,,,Control Lab (H7 007),Ok,elec,,,,,
Digital multimeters,5,TM 351,,,UK,Thurlby-Thander,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Oscilloscopes,11,CS-4135,,,TW,KENWOOD Corporation,,,,Control Lab (H7 007),Ok,elec,,,,,
Oscilloscopes,3,Metrix 0*800,,,,ITT Instruments,,,1994,Control Lab (H7 007),Ok,elec,,,,,
Oscilloscopes,5,Metrix 0*722,,,,ITT Instruments,,,1994,Control Lab (H7 007),Ok,elec,,,,,
Oscilloscopes,2,CDA 9208,,,,CDA,,,,Control Lab (H7 007),Ok,elec,,,,,
Computing multimeters,3,1906,,,UK,Thurlby-Thander,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Regulated DC power supply,1,PWR 36-1,,,JP,KENWOOD Corporation,,,,Control Lab (H7 007),Ok,elec,,,,,
Power supplies,8,Metrix AX 321,,,,ITT Instruments,,,,Control Lab (H7 007),ok,elec,,,,,
Analogue multimeters,7,Metrix MX 1 Type,,,,ITT Instruments,,,,Control Lab (H7 007),Ok,elec,,,,,
Digital Avometers,2,M 803,,,TW,AVO,,,,Control Lab (H7 007),OK,elec,,,,,
Digital multimeters,4,Meco 603,,,,,,,,Control Lab (H7 007),Ok,elec,,,,,
Electronic galvanometers,4,Type 2707/2708,,,JP,Yokogawa Electric,,,,Control Lab (H7 007),Ok,elec,,,,,
Lift Model,1,MD-lift3,,,,SANRITSU LTD,,JICA donation,,Computer Lab (ELB 015),OK,elec,,,,,
Graphitec X-Y plotter,2,WX4000,,,,Graphitec Corp,,,,Computer Lab (ELB 015),Incomplete,elec,,,,,
Logic Analyzer,1,MLA 300,,,,Meguro Electronics,,JICA donation,,Computer Lab (ELB 015),OK,elec,,,,,
Lux meter,1,325400,,,JP,Yokogawa,,,,Computer Lab (ELB 015),Faulty,elec,,,,,
Light Box,,2128,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
Light Box,,4124,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
Integrating Photometer,,8222,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
Disk Drives,4,1123754,,,,,,,,,,elec,,,,,
Transformers,,,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
He-Ne Gas Laser,1,NEC,,,,,,,,,,elec,,,,,
Plastic Optical F.Assembly,,,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
Kit ,4,,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
Illumination kit,2,OPT70,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
Core,2,OPT90,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
Plastic Fb.,4,OPT 210,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
S/Down Transformer,6,,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
Tx Fibre set,,,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
(i) audio amplifier,3,AM 5w,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
(ii) Light Detector,4,OPT 120,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
(iii) AC Amplifiers,3,OPT 140,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
(iv) Scale Plate,3,OPT 100,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
(v) Set of weights,3,OPT 100,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
(vi) Optical Stand,2,LP 43,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
(vii) S/Down Tx.,6,,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
Laser Power Meter,1,LW-100,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
S/Down Transformer,3,304,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
Optical Fibre Set,1,,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
Semiconductor Laser,1,9117,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
E/O &O/E converter,1,OPT 200 & OPT 220,,,,,,,,,,elec,,,,,
,,PB300187,,,,,,,,,,elec,,,,,
Microammeter,1,00425S,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
Luxmeter,1,13250U,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
Hand Cutter,2,Type PC 300,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
Universal Transform.,5,UE-3,,,,,,,,,,elec,,,,,
,,11768,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
Hand Drills,5,National KHD6,,,,,,,,,,elec,,,,,
,,5.72E+14,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
UV Exposure Unit,1,N10,,,,,,,,,,elec,,,,,
PCB Washtank,1,TH-100,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
Themoheater,3,920839,,,,,,,,,,elec,,,,,
PCB Etching Tank,1,ES-30,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
PCB Cutter,2,PC-300,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
Transformers,10,Shimadzu,,,,,,,,,,elec,,,,,
Transformers,5,Shimadzu,,,,,,,,,,elec,,,,,
Lux meter minilux,1,,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
Tool kits (incomplete),14,,,,JP,,,,1982,Illumination Lab (ELB 013),Working,elec,,,,,
Video Editing Machine,,,,,JP,,,,1982,Illumination Lab (ELB 013),Not Working,elec,,,,,
Monitors,2,TM-90PJN,,,JP,,,,1982,Illumination Lab (ELB 013),Not Working,elec,,,,,
Video Deck,2,JVC,,,,,,,,,,elec,,,,,
Editing Control Unit,1,RM-98104,,,,,,,,,,elec,,,,,
Blower,1,Black and Decker,,,,,,,,Illumination Lab (ELB 013),Working,elec,,,,,
Microcontroller Kits,4,AVR -500,,,,,,,,,,elec,,,,,
Computers,12,HP-Pro 3010,,,,,,,,,,elec,,, CZC0241498,CZC02414D1," CZC02414C6""							2010	Illumination Lab (ELB 013)	Working	elec		"
8086 Training Kits,4,K&H,,,,,,,,,,elec,,,,,
Q-meter,3,MEGURO MQ-161,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Pulse Generator,1,MEGURO MSG221,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Curve tracer,1,KIKUSUI S802,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Standard signal generator,1,MEGURO MSG221C,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Standard signal generator,1,MEGURO MSG2352,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Tube tester,2,DELICA 3001,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Dc Voltmeter 0-300V,8,YEW 2051,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Dc Voltmeter 0-30V,10,YEW 2051,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Ac Voltmeter -300V,4,YEW 2052,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Ac Ammeter0-5A,5,YEW 2053,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
AD converter,1,YEW AD-S1,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Ac milliameter,8,YEW 2016,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Ac Voltmeter ,4,KIKUSUI 1631,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Variable non-inductive resistance,2,ADO AP-2,,,JP,,,,1980,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Signal Generator,8,LEADER LSG-16,,,JP,,,,,Electronics Lab (EMB103/104),1 FAULTY,elec,,,,,
High gain audio amplifier,6,KOKUYO FA-2B,,,JP,,,,,Electronics Lab (EMB103/104),1 FAULTY,elec,,,,,
Low distortion oscillator,3,MEGURO MCR4012,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Multiband Receiver,3,SONY ICF-67000,,,JP,,,,,Electronics Lab (EMB103/104),ALL FAULTY,elec,,,,,
Tape recorder,1,SONY TC-KSSII,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Universal bridge,2,ANDO LCR-6,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
VHF sweep generator,1,MEGURO MSW 750,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Stop watch,4,SEIKO ACRP,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Battery charger,1,DENGER HR-245,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Audio signal generator,8,TRIO AG-202A,,,JP,,,,,Electronics Lab (EMB103/104),6 FAULTY,elec,,,,,
Decade capacitor,4,ADO DSC-1,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
DC power supply,4,SHIMADZU RDS-3N,,,JP,,,,,Electronics Lab (EMB103/104),3 FAULTY,elec,,,,,
DC power supply,4,SHIMADZU RDS-1N,,,JP,,,,,Electronics Lab (EMB103/104),3 FAULTY,elec,,,,,
XY recorder,1,WATANABE,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
XY recorder,1,GRAPHTEC,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Power amplifier,3,SONY PAA-100,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Speaker,10,SONY SSP-431,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Vacuum tube power source,1,VH-500,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Control Systems Demo equip,1,YEW,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
TV receiver,3,SONY KV-1420,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
TV receiver,3,SANYO TW-800,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
RC oscillator,8,KIKUSUI 4045,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Colour pattern generator,4,KENWOOD CG-912,,,JP,,,,,Electronics Lab (EMB103/104),1 FAULTY,elec,,,,,
Semar generator,2,LEADER LSW-251,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Distortion meter,4,LEADER LDM-170,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Video cassetter recorder,2,JVC H2-2200EG,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Colour video camera,2,JVC GX-77E,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
AC power adapter,2,JVC AA-P22EG,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Multiplex stereo modulator,2,NATIONAL,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
WOW flutter meter,1,LEADER LFM-3610,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Sweep function generator,2,TRIO WG-230,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
FM stereo generator,2,TRIO SM-301,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Test loop aerial,5,MEGURO MLA-1001B,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Curve tracer,2,LEADER LTC-905,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Noise meter,2,MEGURO MN-445B,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Stereo signal generator,2,MEGURO MSG-2101,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
AC voltmeter,4,YEW 2016,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Power amplifier,1,ANDO SCL001,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Voltage amplifier,1,ANDO SC-1001,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Filter circuit trainer,4,ANDO VF-16,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Sequential controller,1,ANDO SQ-10,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
IC tester,2,ANDO aic-10,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
AM Transistorized radio 2,2,SCIENCE SIP-327A,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
FM master builder,2,SCIENCE SIP-328,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
FM transmitter with master builder,2,SCIENCE SIP-355,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Digital communication with master builder,1,SCIENCE SIP-397-1,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Signal converter with master builder,1,SCIENCE SIP-397-4,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Electronic telephone with master builder,1,SCIENCE SIP-397-2,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
AM/DSB transmitter with master builder,2,SCIENCE SIP-397,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Antenna and transmission with master builder,2,SCIENCE SIP-360,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Stereo amplifier with master builder,2,SCIENCE SIP-326A,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Function/sweep generator,3,KENWOOD FG-271,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
CRT tester,1,LEADER LCT-910A,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Transistor checker,5,LEADER LTC-907,,,JP,,,,,Electronics Lab (EMB103/104),1 FAULTY,elec,,,,,
RF electronic voltmeter,5,TOA PM-30R,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Vectorscope (PAL),2,LEADER LVS-S851A,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
AC millivoltmeter,1,LEADER LMV181A,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
WOW flutter meter,2,MEGURO MK-668E,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Noise meter,2,MEGURO MN-446,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Microwave demonstrator,5,SHIMADZU MW-3RN,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
VHF generator,1,ANDO GE-502,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Digital multimeter,2,3478A,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Digital multimeter,10,MECO 603,,,IN,,,,,Electronics Lab (EMB103/104),6 FAULTY,elec,,,,,
Microwave equipment set ,1,SPC SA350,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
VHF video recorder ,3,HITACHI M728,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Colour television,3,HITACHI CMT2141,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
AC power adapter,1,JVC AA-P250,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Portable video recorder,1,VHS BR-1600EG,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
AC power adapter,1,JVCAA-V12EG,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Colour video monitor,1,JVC TM-22EG,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Portable video light,1,RDS LB-S,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Quick charge battery,1,RDS BCM24-GS,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Lighting kit (3 lamps),1,RDS UF 10A,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
DC microammeter,6,YAS ,,,JP,,,,1991,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
AC voltmeter,4,YAS ,,,JP,,,,1991,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Oscilloscope,2,TEKTRONIXS ,,,UK,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Regulated DC power supply,4,KIKUSUI PAB18-1A,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Colour television,10,SANYO CEM12143C,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Video cassetter recorder,10,SANYO VHS,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Oscilloscope,3, OS-9020A,,,UK,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Synchroscope,8,KENWOOD C-1012,,,UK,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Regulated DC power supply,4,TRIO,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Thyristor trainer,4,ANDO SCR-15,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Semiconductor experiement,3,SHIMADZU KSC-3,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Electric circuit trainer,5,SHIMADZU ECT-2,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Semiconductor application experiment,5,DENSI YD-10,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Transistor circuit trainer,3,ANDO TA-3,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Transistor circuit trainer(amplifier),1,ANDO,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Transistor circuit trainer (oscillator/amplifier),1,ANDO,,,JP,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Computing multimeter,5,THANDAR 1906,,,UK,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Rheostat,5,YAMABISHI D-3,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Rheostat,12,YAMABISHI D-4,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Rheostat,10,YAMABISHI D-5,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Rheostat,16,YAMABISHI D-7,,,JP,,,,,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Optoelectronics kit,3, EE477,,,UK,,,,1996,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Transistor amplifier demonstrator,4, TAD 510,,,UK,,,,1996,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Breadboard,1,EMILI,,,UK,,,Kshs.60000,1995,Electronics Lab (EMB103/104),GOOD,elec,,,,,
E-C-R meter,1,ESCORT EL3131,,,UK,,,,1995,Electronics Lab (EMB103/104),GOOD,elec,,,,,
Moving coil DC mA (0-100mA)10,10,HOBUT PH-6/96,,,UK,,,,1996,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Moving coil DC A (0-5A)10,5,HOBUT PH-6/96,,,UK,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Moving coil DC mA (0-10mA)10,9,HOBUT PH-6/96,,,UK,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Moving iron AC/DC mA 0-5A,5,HOBUT PH-6/96,,,UK,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Moving iron AC/DC voltmeter 0-3V,5,HOBUT PH-6/96,,,UK,,,,,Electronics Lab (EMB103/104),FAULTY,elec,,,,,
Bench Drill,1,1640,,,JP,Hitachi,,,1983,Installation Lab (EMB 014),Working,elec,,,,,
Drill Vice,2,,,,IN,SKI,,,1983,Installation Lab (EMB 014),Working,elec,,,,,
Electric furnace,1,MK-10,,,,,,,,,,elec,,,,,
Belt Grinder,1,BG-100,,,,,,,,,,elec,,,,,
Belt Grinder,1,N370,,,,Black &Decker,,,1983,Installation Lab (EMB 014),Not working,elec,,,,,
Coil Winding,1,MK200M,,,,,,,,,,elec,,,,,
Sheet metal roller,,,,,,,,,1983,Installation Lab (EMB 014),Working,elec,,,,,
Bench Drill,1,N820001,,,JP,Hitachi,,,1983,Installation Lab (EMB 014),Working,elec,,,,,
Bench Drill,1,PD-25P,,,CN,Peerless,,,1983,Installation Lab (EMB 014),Working,elec,,,,,
Bench Vices,10,No. 100,,,,Eron,,,1983,Installation Lab (EMB 014),Working,elec,,,,,
Sheet metal Bending machine,1,,,,,,,,1983,Installation Lab (EMB 014),Working,elec,,,,,
Pipe Vices,10,,,,,JP,,,1983,Installation Lab (EMB 014),Working,elec,,,,,
Manual coil winding,3,97821,,, JP,Taga,,,1990,Installation Lab (EMB 014),Working,elec,,,,,
Welding Machine,1,P89-35,,,,Black &Decker,,,1994,Installation Lab (EMB 014),Working,elec,,,,,
Standby Generator,1,Em45005,,, JP,Honda,,,1994,Installation Lab (EMB 014),Working,elec,,,,,
3 Phase Squirel cage Motor,1,,,,,Brown boveri,,,1983,Installation Lab (EMB 014),Working,elec,,,,,
3 Phase Squirel cage Motor,2,D100L,,,UK,GEC,,,1983,Installation Lab (EMB 014),Working,elec,,,,,
